log10_nH_cm3,log10_T_K
-6.50408719346049,3.76516393442623
-6.44277929155313,3.79385245901639
-6.37465940054496,3.82254098360656
-6.32697547683924,3.85140029406938
-6.27588555858311,3.88213799898742
-6.21628065395095,3.91287570390545
-6.17086746257397,3.94275954199619
-6.11977754431784,3.97264344262295
-6.07436414505545,3.99911200101258
-6.02043596730245,4.02984970593062
-5.97502277592547,4.05631829558826
-5.91825613079019,4.08364072080518
-5.86148948565491,4.11267075460465
-5.8189145537748,4.13999314855357
-5.76782463551867,4.16646176947922
-5.72241144414169,4.19122265675029
-5.67699825276471,4.21342213114754
-5.63158485350232,4.23732924539535
-5.58617166212534,4.26038252408387
-5.53792000336608,4.28599727818223
-5.48683008510995,4.30990436116203
-5.43006364786008,4.33722678637895
-5.38181198910082,4.36028006506748
-5.32504555185095,4.38418714804728
-5.27963215258856,4.40638662244453
-5.22286571533868,4.43029370542432
-5.16893732970027,4.45334698411285
-5.10649395768584,4.4755464585101
-5.0355360150662,4.49603824615479
-4.96741612405803,4.51482240958292
-4.88510431190927,4.53019126204194
-4.79711639653759,4.54214480353183
-4.70061307901907,4.54556011450095
-4.60410976150055,4.54214480353183
-4.51895989774034,4.53104508196721
-4.43381003398012,4.51738388499276
-4.34582211860844,4.50372267238429
-4.24931880108992,4.4994535571239
-4.1641689373297,4.48664618007472
-4.09604904632153,4.46786203228059
-4.03644414168937,4.44907786885246
-3.96548578329892,4.43029370542432
-3.90871934604905,4.41663252408387
-3.84911444141689,4.39870219621502
-3.78099455040872,4.3790641972276
-3.71571312678283,4.36284154047732
-3.65610822215067,4.34661885245902
-3.59934136912998,4.32954236014945
-3.53689841288637,4.3150273119817
-3.48297002724796,4.30051229508197
-3.42052665523352,4.28770491803279
-3.35808369898991,4.27233606557377
-3.28996380798174,4.25696721311475
-3.21332893059754,4.24159836065574
-3.13385558583106,4.22537567263744
-3.05438224106459,4.21000685144643
-2.96923237730437,4.19634560756996
-2.88692098092643,4.18439209734807
-2.80460958454849,4.17243852459016
-2.71945972078828,4.16133881865955
-2.63430985702806,4.14938524590164
-2.54348305850328,4.13743167314373
-2.44698015675558,4.12547816292184
-2.34480032024332,4.11437839445521
-2.25113547010708,4.10413249281586
-2.15463215258856,4.09388659117652
-2.0638057698346,4.08449455636447
-1.9644639849338,4.07595626330767
-1.86796066741528,4.06656422849561
-1.77145776566757,4.05631832685627
-1.67779291553134,4.04863390062676
-1.5841280653951,4.04009560756996
-1.49330126687032,4.03411885245902
-1.39396031351115,4.02728823052078
-1.29745658022182,4.01789619570873
-1.20095367847411,4.00935790265193
-1.11012687994934,4.00338114754098
-1.02213896457766,3.99911200101258
